StartDate,EndDate,Duration,Finished,RecordedDate,Q1,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q70_First Click,Q70_Last Click,Q70_Page Submit,Q70_Click Count,Q7_1_1,Q71_First Click,Q71_Last Click,Q71_Page Submit,Q71_Click Count,Q7_2_1,Q72_First Click,Q72_Last Click,Q72_Page Submit,Q72_Click Count,Q7_3_1,Q73_First Click,Q73_Last Click,Q73_Page Submit,Q73_Click Count,Q7_4_1,Q74_First Click,Q74_Last Click,Q74_Page Submit,Q74_Click Count,Q7_5_1,Q83_First Click,Q83_Last Click,Q83_Page Submit,Q83_Click Count,Q7_6_1,Q86_First Click,Q86_Last Click,Q86_Page Submit,Q86_Click Count,Q7_7_1,Q89_First Click,Q89_Last Click,Q89_Page Submit,Q89_Click Count,Q7_8_1,Q92_First Click,Q92_Last Click,Q92_Page Submit,Q92_Click Count,Q7_9_1,Q95_First Click,Q95_Last Click,Q95_Page Submit,Q95_Click Count,Q7_10_1,Q65_First Click,Q65_Last Click,Q65_Page Submit,Q65_Click Count,Q0_1_1,Q66_First Click,Q66_Last Click,Q66_Page Submit,Q66_Click Count,Q0_2_1,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,Q0_3_1,Q68_First Click,Q68_Last Click,Q68_Page Submit,Q68_Click Count,Q0_4_1,Q69_First Click,Q69_Last Click,Q69_Page Submit,Q69_Click Count,Q0_5_1,Q98_First Click,Q98_Last Click,Q98_Page Submit,Q98_Click Count,Q0_6_1,Q101_First Click,Q101_Last Click,Q101_Page Submit,Q101_Click Count,Q0_7_1,Q104_First Click,Q104_Last Click,Q104_Page Submit,Q104_Click Count,Q0_8_1,Q107_First Click,Q107_Last Click,Q107_Page Submit,Q107_Click Count,Q0_9_1,Q110_First Click,Q110_Last Click,Q110_Page Submit,Q110_Click Count,Q0_10_1,Q_what_comes_to_mind,SC0,totalPayoff,Group
6/26/24 11:16,6/26/24 11:40,1471,1,6/26/24 11:40,1,0,0,8.038,0,0,0,34.907,0,0,0,5.354,0,1,0,0,5.22,0,1,0,0,5.264,0,1,0,0,5.326,0,1,0,0,5.307,0,4,0,0,5.232,0,1,0,0,5.621,0,1,0,0,5.221,0,1,0,0,5.299,0,1,0,0,5.124,0,1,0,0,5.313,0,1,0,0,5.209,0,1,0,0,5.308,0,1,0,0,5.454,0,1,0,0,5.233,0,1,0,0,5.228,0,1,0,0,5.418,0,1,0,0,5.319,0,1,0,0,5.511,0,1,0,0,5.255,0,1,7,20,710,2
6/26/24 11:24,6/26/24 11:42,1070,1,6/26/24 11:42,1,20.33,39.816,40.725,2,3.601,3.601,6.737,1,0,0,5.192,0,1,0,0,5.31,0,1,0,0,5.393,0,1,0,0,5.183,0,1,0,0,5.294,0,3,0,0,5.414,0,1,0,0,5.39,0,1,0,0,5.496,0,1,0,0,5.393,0,1,0,0,5.099,0,3,0,0,5.3,0,1,0,0,5.197,0,1,0,0,5.293,0,1,0,0,5.412,0,1,0,0,5.295,0,1,0,0,5.293,0,1,0,0,5.294,0,1,0,0,5.18,0,1,0,0,5.284,0,1,0,0,5.088,0,1,0,24,688,1
6/26/24 11:15,6/26/24 11:44,1732,1,6/26/24 11:44,1,0,0,6.695,0,6.929,6.929,7.308,1,0,0,3.603,0,1,2.61,2.61,4.026,1,1,0,0,4.168,0,1,2.732,2.732,3.719,1,1,2.526,2.526,3.936,1,2,2.594,2.594,4.176,1,1,0,0,4.12,0,1,3.521,4.403,4.609,3,1,2.429,3.415,4.245,2,1,3.671,3.671,4.652,1,1,4.144,4.144,4.441,1,1,0,0,3.998,0,1,0,0,4.256,0,1,0,0,3.56,0,1,0,0,3.815,0,1,2.012,2.012,4.142,1,1,3.684,3.684,4.059,1,1,0,0,3.88,0,1,2.984,3.223,4.19,2,2,0,0,4.04,0,1,3,22,684,1
6/26/24 11:24,6/26/24 11:52,1733,1,6/26/24 11:53,1,0,0,6.958,0,0,0,30.033,0,0,0,5.144,0,1,0,0,5.145,0,1,0,0,5.342,0,4,0,0,5.144,0,1,0,0,5.244,0,3,0,0,5.245,0,1,0,0,5.145,0,1,0,0,5.399,0,2,0,0,5.046,0,1,0,0,5.045,0,1,0,0,5.145,0,1,0,0,5.245,0,1,0,0,5.042,0,1,0,0,5.143,0,1,0,0,5.244,0,1,0,0,5.348,0,1,0,0,5.147,0,1,0,0,5.145,0,1,0,0,5.247,0,3,0,0,5.245,0,1,5,28,460,2
6/26/24 11:24,6/26/24 11:55,1846,1,6/26/24 11:55,1,0,0,986.467,0,0,0,13.41,0,0,0,3.983,0,1,3.486,4.571,4.864,3,1,0,0,3.751,0,1,0,0,4.435,0,1,0,0,3.831,0,3,0,0,3.955,0,1,0,0,4.214,0,1,0,0,3.835,0,1,2.981,2.981,4.794,1,1,3.367,3.367,4.358,1,3,4.107,4.107,4.366,1,1,0,0,4.604,0,1,0,0,3.53,0,1,0,0,3.915,0,1,0,0,4.299,0,1,0,0,4.201,0,1,0,0,4.61,0,1,0,0,4.221,0,1,3.547,3.547,4.302,1,1,0.122,0.122,4.24,1,1,6,24,526,2
6/26/24 11:41,6/26/24 11:58,1039,1,6/26/24 11:58,1,0,0,36.404,0,22.404,22.404,36.437,1,0,0,5.258,0,1,0,0,5.259,0,1,0,0,5.148,0,1,0,0,5.253,0,1,0,0,5.363,0,4,0,0,5.37,0,1,0,0,5.358,0,1,0,0,5.264,0,1,0,0,5.062,0,1,0,0,5.376,0,1,0,0,5.265,0,1,0,0,5.376,0,1,0,0,5.247,0,1,0,0,5.162,0,1,0,0,5.468,0,1,0,0,5.271,0,1,0,0,5.248,0,1,0,0,5.257,0,1,0,0,5.275,0,1,0,0,5.363,0,1,4,20,704,1
6/26/24 11:49,6/26/24 12:12,1369,1,6/26/24 12:12,1,16.496,16.496,37.713,1,0,0,6.744,0,1.953,1.953,5.303,1,4,2.004,2.004,5.318,1,1,0,0,5.193,0,4,0,0,5.403,0,1,0,0,5.322,0,2,0,0,5.295,0,1,0,0,5.495,0,1,0,0,5.196,0,1,0,0,5.282,0,3,0,0,5.415,0,1,0,0,5.361,0,3,0,0,5.183,0,2,0,0,4.962,0,1,0,0,5.098,0,2,0,0,5.116,0,1,2.527,2.527,5.306,1,1,0,0,5.093,0,2,0,0,5.397,0,1,0,0,4.707,0,2,0,0,5.11,0,1,1,35,304,2
6/26/24 11:51,6/26/24 12:23,1903,1,6/26/24 12:23,1,0,0,26.784,0,0,0,17.29,0,0,0,5.139,0,1,0,0,5.259,0,1,0,0,6.409,0,1,0,0,5.036,0,1,0,0,5.453,0,4,0,0,5.264,0,1,0,0,5.357,0,1,0,0,5.293,0,1,0,0,5.359,0,1,0,0,5.152,0,1,0,0,5.153,0,1,0,0,5.458,0,1,0,0,5.14,0,1,0,0,5.248,0,1,0,0,5.138,0,1,0,0,5.147,0,1,0,0,5.139,0,1,0,0,5.237,0,1,0,0,5.347,0,1,0,0,5.272,0,1,7,20,704,1
6/26/24 12:17,6/26/24 12:29,725,1,6/26/24 12:29,1,0,0,46.671,0,0,0,18.653,0,0,0,4.957,0,1,0,0,5.143,0,1,0,0,5.161,0,1,0,0,5.262,0,1,4.945,4.945,5.053,1,4,0,0,5.263,0,1,0,0,5.255,0,1,0,0,5.261,0,1,0,0,5.264,0,1,0,0,5.26,0,1,0,0,5.207,0,1,0,0,5.265,0,1,0,0,5.252,0,1,4.357,4.357,5.359,1,1,0,0,5.369,0,1,0,0,5.267,0,1,4.969,4.969,5.096,1,1,0,0,5.26,0,1,0,0,5.154,0,1,0,0,5.15,0,1,0,20,710,1
6/26/24 11:48,6/26/24 12:30,2505,1,6/26/24 12:30,1,0,0,81.618,0,1663.235,1663.235,1663.966,1,3.865,3.865,4.943,1,1,4.11,4.11,4.499,1,1,0,0,4.413,0,1,4.047,4.047,4.758,1,1,2.902,3.661,4.656,3,4,0,0,4.455,0,1,0,0,4.458,0,1,0,0,4.625,0,1,0,0,4.181,0,1,0,0,4.419,0,1,0,0,4.192,0,1,0,0,4.415,0,1,0,0,4.74,0,1,3.661,4.53,4.835,2,1,3.96,3.977,4.816,2,1,4.439,4.439,4.74,1,1,2.967,2.967,4.794,1,1,3.727,4.827,5.08,2,1,0,0,4.666,0,1,0,0,4.814,0,1,0,20,710,2
6/26/24 12:07,6/26/24 13:45,5865,1,6/26/24 13:45,1,0,0,6.273,0,0,0,10.169,0,0,0,5.149,0,3,2.338,2.338,5.461,1,1,0,0,5.177,0,1,0,0,5.27,0,1,0,0,5.169,0,4,0,0,5.379,0,1,0,0,5.153,0,3,0,0,5.177,0,1,2.135,2.135,5.257,1,1,0,0,5.168,0,1,0,0,5.372,0,2,0,0,5.18,0,1,0,0,5.154,0,1,0,0,5.172,0,1,0,0,5.261,0,1,0,0,5.267,0,1,5.344,5.344,7.246,1,1,0,0,5.479,0,1,0,0,5.173,0,1,0,0,5.166,0,1,5,25,576,2
