StartDate,EndDate,Progress,Duration,Finished,RecordedDate,Q1,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q191,Q192,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q291,Q292
6/5/24 10:35,6/5/24 10:37,100,81,TRUE,6/5/24 10:37,I consent,Tiger,LeBron James,Tesla,cancer,Grape,Michigan,Rainy,FBI,Mosquito,Broken Arm,Hamas,"In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:37,100,138,TRUE,6/5/24 10:37,I consent,lion,Michael Jordan,honda,cancer,pizza,UF,hot,CIA,dragonfly,broken arm,Al-qaeda ,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:37,100,140,TRUE,6/5/24 10:37,I consent,elephant,michael jordan,nissan,flu,pizza,Washington,hazy,CIA,mosquito,gunshot,Hamas,"In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:37,100,153,TRUE,6/5/24 10:37,I consent,elephant,Travis,mercedes,measles ,corn,Harvard,rainy,FBI,roach,sprain,PLO,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:37,100,104,TRUE,6/5/24 10:37,I consent,cat,Lebron James,Honda,Cancer,tacos,Harvard,sunny,FBI,beetle,broken arm,Hamas,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:37,100,154,TRUE,6/5/24 10:37,I consent,cat,brett favre,subaru,aids,lasagna,united state military academy,snow storm,cdc,mosquito,acl tear,hamas,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:37,100,143,TRUE,6/5/24 10:37,I consent,snake,michael jordan,corvette,covid,hamburger,Ohio State,rainy,CIA,box elder beetle,broken leg,IS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:37,100,167,TRUE,6/5/24 10:37,I consent,cat,ronald acuna,accord,osteoporosis,pizza,harvard,rainy,nasa,bee,arthritis,hamas,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:37,100,121,TRUE,6/5/24 10:37,I consent,Cat,Tom Brady,Tesla,Covid,Burger,Berkley,Storm,FBI,Spider,Cut,Isis,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:37,100,178,TRUE,6/5/24 10:37,I consent,turtle,LeBron James,Chevy Cavalier,Lyme Disease,pizza,Howard University,chilly,The CDC,fly,broken foot,Al-Qaeda,"In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:37,100,150,TRUE,6/5/24 10:37,I consent,bear,kobe bryant,hyundai sonata,sickle cell anemia,spaghetti,university of michigan,cloudy,cia,ant,sprained ankle,hamas,"In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:37,100,173,TRUE,6/5/24 10:37,I consent,Tiger,Michael Jordan,Jeep,Cancer,Oranges,Penn State,Rainy,CDC,spider,broken leg,Hammas,"In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:37,100,171,TRUE,6/5/24 10:37,I consent,dog,Michael Jordan,Jeep,cancer,pizza,University of Illinois,rainy,FBI,mosquito,broken arm,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:37,100,104,TRUE,6/5/24 10:37,I consent,cat,Michael Jordan,Ford Mustang,caner,steak,University of Nebraska,cloudy,Supreme Court,mosquito,broken femur,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:37,100,164,TRUE,6/5/24 10:37,I consent,Cat,Michael Jordan,Nissan Sentra,Cancer,Pizza,Yale University,Summer sunshine,Veterans Affairs,Mosquito,Car accident,AlQuaeda,"In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:37,100,186,TRUE,6/5/24 10:37,I consent,dog,Tom Brady,Toyota,cancer,burger,Lubbock University,sunny and hot,FBI,mosquito,broken leg,Hamas,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:37,100,163,TRUE,6/5/24 10:37,I consent,Dog,Usain Bolt,Chevrolet Equinox,Cancer,Pizza,Princeton,Raining,CIA,Ant,Sprained ankle,Isis,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:37,100,154,TRUE,6/5/24 10:37,I consent,dog,Paolo Banchero,ford,cancer,Sushi,ucf,rainy,fbi,ant,broken bone,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:37,100,184,TRUE,6/5/24 10:37,I consent,Giraffe,LeBron James,Lamborghini,Cancer,Pizza,University of Georgia,Stormy,FBI,Cricket,Broken bone,Al Qaeda,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:37,100,174,TRUE,6/5/24 10:37,I consent,Dog,Brady Anderson,BMW,Covid,pretzel,Emory University,sunny,FBI,wasp,broken leg,Hamas,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:37,100,166,TRUE,6/5/24 10:37,I consent,Zebra,Lebron James,Honda Civic,Diabetes ,Corn,Florida State University,Hot,CIA,Moth,Broken leg,Al Qaida ,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:37,100,200,TRUE,6/5/24 10:37,I consent,dog,Jordan Binnington,Chevy Cobalt,lupis,fish,Harvard,Stormy,DOJ,stinkbug,broken ankle,Hamas,"In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:38,100,184,TRUE,6/5/24 10:38,I consent,Cat,Wayne Gretski?,toyota corolla,lupus,Pizza,OSU,rainy,IRS,crickets,osteoarthritis,Fox News,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:36,6/5/24 10:38,100,92,TRUE,6/5/24 10:38,I consent,cat,Michael Jordan,Honda,Covid,pizza,Penn State,cloudy,FBI,bee,broken arm,Hamas,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:38,100,212,TRUE,6/5/24 10:38,I consent,cat,kyrie irving,Honda civic,malaria,pizza,University of Louisville,rainy,FBI,grasshopper,cut,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:36,6/5/24 10:38,100,73,TRUE,6/5/24 10:38,I consent,dog,Alex Rodriguez,Tesla,cancer,pasta,PITT,sunny,CIA,spider,broken arm,Al-Qaeda,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:38,100,201,TRUE,6/5/24 10:38,I consent,dog,barry sanders,corvette,cancer,pizza,michigan,sunny,irs,fly,arm broke,hammas,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:36,6/5/24 10:38,100,134,TRUE,6/5/24 10:38,I consent,Cat,Stu Barnes,Chevy Astro,COPD,Hot dogs,University at Buffalo,Foggy,FBI,Fly,Broken leg,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:38,100,144,TRUE,6/5/24 10:38,I consent,dog,michael jordan,toyota,cancer,pizza,ucla,hot,irs,bee,broken arm,hamas,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:36,6/5/24 10:38,100,116,TRUE,6/5/24 10:38,I consent,Falcon,Michael Phelps,HOnda,Swine Flu,Ramen,Harvard University,Sunny,FBI,Praying Mantis,Broken arm,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:36,6/5/24 10:38,100,127,TRUE,6/5/24 10:38,I consent,cat,caitlin clark,tesla,thyrodism,tacos,notre dame,sunny,fbi,ladybug,broken hand,Hamas,"In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:38,100,163,TRUE,6/5/24 10:38,I consent,cat,ken griffey jr,honda,lou gherigs deisease,pizza,harvard,hot,police,Beetle,broken arm,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:38,100,178,TRUE,6/5/24 10:38,I consent,cat,Michael Jordan,Chevy Malibu,COVID,pizza,Black Hills State University,rainy,FBI,ladybug,broken arm,HAMAS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:38,100,151,TRUE,6/5/24 10:38,I consent,dog,Mary Lou Rettin,Chevrolet Cavalier,Arthritis,potato,University of Utah,Sunny and dry,Health Department,spider,shingles,KKK,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:36,6/5/24 10:38,100,149,TRUE,6/5/24 10:38,I consent,dog,joe namath,bugatti,copd,spaghetti,Georgia state,stormy,social security,cockroach,peripheral nueropathy,hezbollah,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:38,100,165,TRUE,6/5/24 10:38,I consent,dog,JP Crawford,Mustang,tuberculosis,spaghetti ,Harvard University,sunny,EPA,cricket,concussion,Hamas,"In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:38,100,197,TRUE,6/5/24 10:38,I consent,Cat,Michael Jordan,Porsche,Celiac,French fries,Yale,Windy,USDA,Butterfly,Ankle sprain,Hamas,"In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones"
6/5/24 10:34,6/5/24 10:38,100,230,TRUE,6/5/24 10:38,I consent,dog,Michael Jordan,Audi,leukemia,pizza,Harvard,rainy,FBI,ladybug,broken leg,Hamas,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:37,6/5/24 10:38,100,94,TRUE,6/5/24 10:38,I consent,frog,john stockton,audi,rubella,peas,denver,good,irs,grasshopper,cut,isis,"In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones"
6/5/24 10:35,6/5/24 10:38,100,194,TRUE,6/5/24 10:38,I consent,cat,Connor McDavid,porsche,Cancer,pizza,University of Florida,sunny,CIA,ant,broken leg,HAMAS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:38,100,188,TRUE,6/5/24 10:38,I consent,dog,Kaspersky,SUV,cancer,cheese,Harvard,rain,IRS,SPIDER,cut,Hamas,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:38,100,181,TRUE,6/5/24 10:38,I consent,Cat,Lebron James,Ford,Flu,Hotdog,Harvard,Rain,NSA,Butterfly,Broken toe,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:38,100,207,TRUE,6/5/24 10:38,I consent,cat,Josh Allen,Toyota,Alzheimers,cake,Yale,Sunny and clear,FDA,bee,torn ligament,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:38,100,238,TRUE,6/5/24 10:38,I consent,Elephant,Kobe Bryant,Ford Fusion,Diabetes ,Pizza,Baker College,Rainy,IRS,Fly,broken leg,Taliban ,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:36,6/5/24 10:38,100,140,TRUE,6/5/24 10:38,I consent,Dog,Tiger Woods,Honda Ridgeline,Cancer,Pizza,USF,Sunny,EPA,Mosquito,Broken arm,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:35,6/5/24 10:38,100,225,TRUE,6/5/24 10:38,I consent,Penguin,Carmelo Anthony,Pontiac grand am,Alezheimers,Apple,Syracuse,Sunny,IRS,mosquito  ,Broken arm,ISIS,"In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
6/5/24 10:36,6/5/24 10:38,100,148,TRUE,6/5/24 10:38,I consent,Raccoon,Michael Jordan,Honda Civic,Lou gehrigs,Pizza,Cornell,Sunny,IRS,Ant,Broken leg,Hamas,"In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones","In the top half, with the better ones"
6/5/24 10:36,6/5/24 10:38,100,116,TRUE,6/5/24 10:38,I consent,Cat,Steph Curry,Jeep,Covid,Pizza,Chico ,Snowy,CDC,Spider,Cut,Nazis?,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones"
6/5/24 10:34,6/5/24 10:38,100,255,TRUE,6/5/24 10:38,I consent,dog,Mike Tyson,Ferrari ,AIDS,pizza,Harvard,rainy,FBI,praying mantis,broken bone,Al Queda ,"In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the top half, with the better ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the top half, with the better ones","In the bottom half, with the worse ones","In the bottom half, with the worse ones"
